Reel Number,Extracted Text
298,"If only there was a page that posts how
things are made in the world..."
299,"If only there was a page that posts how
things are made in the world..."
3,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
30,"If there is a page dedicated to
how things are formed

Follow {[@) @howthingsformed"
300,"If only there was a page that posts how
things are made in the world...."
301,"If only there was a page that posts how
things are made in the world..."
302,"If only there was a page that posts how
things are made in the world...."
303,"If only there was a page that posts how
things are made in the world..."
304,"If only there was a page that posts how
things are made in the world...."
305,"If only there was a page that posts how
things are made in the world...."
306,"If only there was a page that posts how
things are made in the world..."
307,"If only there was a page that posts how
things are made in the world...."
308,"If only there was a page that posts how
things are made in the world...."
309,"If only there was a page that posts how
things are made in the world...."
31,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
310,"If only there was a page that posts how
things are made in the world...."
311,"If only there was a page that posts how
things are made in the world...."
312,
313,"If only there was a page that posts how
things are made in the world...
res a” oe

a aw"
314,"If only there was a page that posts how
things are made in the world...
_ a

Have you ever seen a doll
get hair? ®"
315,"If only there was a page that posts how
things are made in the world....

NAP"
316,If only there was a page that posts how
317,"If only there was a page that posts how
things are made in the world....

z,"
318,"If only there was a page that posts how
things are made in the world....

—~w

’
C"
319,"If only there was a page that posts how
things are made in the world...."
32,"If only there is a page dedicated to
how things are formed

Follow © @howthingsformed"
320,"If only there was a page that posts how
things are made in the world..."
321,"If only there was a page that posts how
things are made in the world...."
322,"If only there was a page that posts how
things are made in the world..."
323,"If only there was a page that posts how
things are made in the world....

~

—

A"
324,"If only there was a page that posts how
things are made in the world...."
325,"If only there was a page that posts how
things are made in the world...."
326,"If only there was a page that posts how
things are made in the world...."
327,"If only there was a page that posts how
things are made in the world...

q"
328,"If only there was a page that posts how
things are made in the world...."
329,"If only there was a page that posts how
things are made in the world...."
33,"If there is a page dedicated to
how eee are formed

ors"
330,"If only there was a page that posts how
things are made in the world...."
331,"If only there was a page that posts how
things are made in the world..."
332,"If only there was a page that posts how
things are made in the world..."
333,"If only there was a page that posts how
things are made in the world...."
334,"If only there was a page that posts how
things are made in the world...."
335,"If only there was a page that posts how
things are made in the world...."
336,If only there was a page that posts how
337,"If only there was a page that posts how
things are made in the world..."
338,"If only there was a page that posts how
things are made in the world...."
339,"If only there was a page that posts how
things are made in the world..."
34,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
340,"If only there was a page that posts how
things are made in the world..."
341,"If only there was a page that posts how
things are made in the world...."
342,"If only there was a page that posts how
things are made in the world....

\ @"
343,"If only there was a page that posts how
things are made in the world..."
344,"If only there was a page that posts how
things are made in the world..."
345,"If only there was a page that posts how
things are made in the world..."
346,"If only there was a page that posts how
things are made in the world...."
347,"If only there was a page that posts how
things are made in the world...."
348,"If only there was a page that posts how
things are made in the world..."
349,"If only there was a page that posts how
things are made in the world....

17"
35,"Skilled master making the base
ball bat"
350,"If only there was a page that posts how
things are made in the world...."
351,"If only there was a page that posts how
things are made in the world..."
352,"If only there was a page that posts how
things are made in the world...."
353,"If only there was a page that posts how
things are made in the world...."
354,"If only there was a page that posts how
things are made in the world...."
355,"If only there was a page that posts how
things are made in the world...."
356,"If only there was a page that posts how
things are made in the world...."
357,"If only there was a page that posts how
things are made in the world..."
358,"If only there was a page that posts how
things are made in the world...."
359,"If only there was a page that posts how
things are made in the world..."
36,"If only there is a page dedicated to
how things are formed"
360,"If only there was a page that posts how
things are made in the world...."
361,"If only there was a page that posts how
things are made in the world...."
362,"If only there was a page that posts how
things are made in the world...."
363,"If only there was a page that posts how
things are made in the world...."
364,"If only there was a page that posts how
things are made in the world...
= =

Agee"
365,"If only there was a page that posts how
things are made in the world..."
366,"If only there was a page that posts how
things are made in the world..."
367,"If only there was a page that posts how
things are made in the world...."
368,"If only there was a page that posts how
things are made in the world...

@foodie_saurabh_"
369,"If only there was a page that posts how
things are made in the world..."
37,"If only there is a page dedicated to
how things are formed"
370,"If only there was a page that posts how
things are made in the world...."
371,"If only there was a page that posts how
things are made in the world.."
372,"If only there was a page that posts how
things are made in the world..."
373,"If only there was a page that posts how
things are made in the world...

Se) | Er
\ ¥"
374,"If only there was a page that posts how
things are made in the world..."
375,"If only there was a page that posts how
things are made in the world...

~

?
| a"
376,"If only there was a page that posts how
things are made in the world...."
377,"If only there was a page that posts how
things are made in the world...."
378,"If only there was a page that posts how
things are made in the world....

="
379,"If only there was a page that posts how
things are made in the world..."
38,"If only there is a page dedicated to

how things are formed"
380,"If only there was a page that posts how
things are made in the world...."
381,"If only there was a page that posts how
things are made in the world....

wn [)
-
i A"
382,"If only there was a page that posts how
things are made in the world...."
383,"If only there was a page that posts how
things are made in the world...."
384,"If only there was a page that posts how
things are made in the world...."
385,"If only there was a page that posts how
things are made in the world..."
386,"If only there was a page that posts how
things are made in the world...."
387,"If only there was a page that posts how
things are made in the world...."
388,"If only there was a page that posts how
things are made in the world...."
389,"If only there was a page that posts how
things are made in the world...

i ee"
39,"If only there is a page dedicated to
how things are formed"
390,"If only there was a page that posts how
things are made in the world...

=>"
391,"If only there was a page that posts how
things are made in the world...."
392,"If only there was a page that posts how
things are made in the world...."
393,"If only there was a page that posts how
things are made in the world...."
394,"If only there was a page that posts how
things are made in the world..."
395,"If only there was a page that posts how
things are made in the world..."
396,"If only there was a page that posts how
things are made in the world..."
397,"If only there was a page that posts how
things are made in the world...."
398,"If only there was a page that posts how
things are made in the world...."
399,"If only there was a page that posts how
things are made in the world...."
4,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
40,"If only there is a page dedicated to
how things are formed"
400,"If only there was a page that posts how
things are made in the world...."
401,"If only there was a page that posts how
things are made in the world...."
402,"If only there was a page that posts how
things are made in the world..."
403,"If only there was a page that posts how
things are made in the world...."
404,"If only there was a page that posts how
things are made in the world....

S Y
SSsSsZ
— y Sj"
405,"If only there was a page that posts how
things are made in the world...."
406,"If only there was a page that posts how
things are made in the world..."
407,"If only there was a page that posts how
things are made in the world..."
408,"If only there was a page that posts how
things are made in the world..."
409,"If only there was a page that posts how
things are made in the world...."
41,"If only there is a page dedicated to
how things are formed

Follow © @howthingsformed"
410,"If only there was a page that posts how
things are made in the world..."
411,"If only there was a page that posts how
things are made in the world..."
412,"If only there was a page that posts how
things are made in the world...."
413,"If only there was a page that posts how
things are made in the world...."
414,"If only there was a page that posts how
things are made in the world..."
415,"If only there was a page that posts how
things are made in the world...."
416,"If only there was a page that posts how
things are made in the world...."
417,"If only there was a page that posts how
things are made in the world...."
418,"If only there was a page that posts how
things are made in the world...."
419,"If only there was a page that posts how
things are made in the world...."
42,"Mass production of bike fuel tanks

— ee

Follow (| @howthingsformed"
420,"If only there was a page that posts how
things are made in the world...."
421,"If only there was a page that posts how
things are made in the world...."
422,"If only there was a page that posts how
things are made in the world...."
424,"If only there was a page that posts how
things are made in the world...."
425,"If only there was a page that posts how
things are made in the world...."
426,"If only there was a page that posts how
things are made in the world....

q ere -_
' —— = —,

@Pageonthingsbeingmade"
427,"If only there was a page that posts how
things are made in the world...."
