Reel Number,Extracted Text
653,"If only there was a page that posts how
things are made in the world...."
654,"If only there was a page that posts how
things are made in the world....

as fF"
655,"If only there was a page that posts how
things are made in the world....

C—O"
656,"If only there was a page that posts how
things are made in the world...."
657,"If only there was a page that posts how
things are made in the world...

 - ZF 4"
658,"If only there was a page that posts how
things are made in the world..."
659,"If only there was a page that posts how
things are made in the world...."
66,"World's largest industrial gear manufacturing...

Follow (© @howthingsformed"
660,"If only there was a page that posts how
things are made in the world..."
661,"If only there was a page that posts how
things are made in the world..."
662,"If only there was a page that posts how
things are made in the world...."
663,"If only there was a page that posts how
things are made in the world..."
664,"If only there was a page that posts how
things are made in the world..."
665,"If only there was a page that posts how
things are made in the world....

Meteorite jewelry process"
666,"If only there was a page that posts how
things are made in the world...."
667,"If only there was a page that posts how
things are made in the world...."
668,"If only there was a page that posts how
things are made in the world...."
669,"If only there was a page that posts how
things are made in the world..."
67,"Hand crafted tabla ....

Follow (@)@howthingsformed"
670,"If only there was a page that posts how
things are made in the world..."
671,"If only there was a page that posts how
things are made in the world...."
672,"If only there was a page that posts how
things are made in the world...."
673,"If only there was a page that posts how
things are made in the world...."
674,"If only there was a page that posts how
things are made in the world....

eS ee"
675,"If only there was a page that posts how
things are made in the world...."
676,"If only there was a page that posts how
things are made in the world...."
677,"If only there was a page that posts how
things are made in the world...."
678,"If only there was a page that posts how
things are made in the world....

I FT 7 FT )~“epyP"
679,"If only there was a page that posts how
things are made in the world...."
68,"Amazing manufacturing process of rubber boots...

Follow [©] @howthingsformed"
680,"If only there was a page that posts how
things are made in the world..."
681,"If only there was a page that posts how
things are made in the world...."
682,"If only there was a page that posts how
things are made in the world..."
683,"If only there was a page that posts how
things are made in the world...."
684,"If only there was a page that posts how
things are made in the world...."
685,Volkswagen Tyre production
686,How sneakers are made
687,How tapes are made
688,How cars are made
689,Buckle spring bending process
69,"Iron nails manufacturing...

Follow {@)@howthingsformed"
690,How burgers are made
691,How to knit
692,How sneakers are made
693,How glassbowls are made
694,How handmade brushes are made
695,How vases are made
696,"How road signs are made

STs | |. <1 tl SD li. tl"
697,How nail polish is made
698,How tractor tyres are made
699,How cigarettes are made
7,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
70,"Making of beautiful cement tiles...

Follow ()@howthingsformed"
700,"Slippers production

@foodie_Saurabhs ——

1

“a"
701,How pamonha is made
702,How oil rigs are built
703,How locks are made
704,How phone cases are made
705,
706,How sugar cubes are made
707,How sachet water is made
708,How motorcycle rims are made
709,Meter box manufacturing
71,"Brass Diya manufacturing process...

Follow @howthingsformed"
710,"How japanese Pancake balls are made

- i. ae 8"
711,How vinyl records are made
712,How chain link fences are made
713,How shoe laces are made
714,"How ice cream cones are made

—. ee SS 1 /"
715,How watermelon tanghulu is made
716,How envelopes are made
717,How this scene in bad boys 4 was made
718,Car made from bathtub
719,Hydro dipping football boot
72,"Making an umbrella with a beautiful painting on it...

Follow {6)@howthingsformed"
720,"__@—_

How roofing sheet is made"
721,How croissant is made
722,How jeans are designed
723,Production of mozzarella cheese in Italy
724,"How leather belts are made

rv Ce rKiAn (awa"
725,How ham sausages are made
726,How pearls are made
727,"——

How Sapporo boiled eggs are made"
728,
729,How rubber shoe soles are made
73,"Manufacturing of aluminium fence gate...

Follow (@)@howthingsformed"
730,"——

How toilet brush is made"
731,"——

How doughnuts are made"
732,"__@—_

How purses are made"
733,"How car mats are made

_ £4“Sh, SOS! |) ON eee."
734,"——

How shampoo bottles are filled"
735,"——

How plastic pallets are made"
736,"——(%)——

How pizza is made"
737,"How sculptures are made
with molten glass"
738,"__@—

The process of making a hand crafted
bracelet"
739,"——

How doll heads are made"
74,"See@ how badminton rackets are made...
ce 1 troy \ (

at ¥
Follow {@) @howthingsformed"
740,"How Swiss Emmentaler
Cheese Is Made"
741,"——

How golf balls are made"
742,"——

How pvc pipes are made"
743,"i

Process of making a large pizza"
744,How cinnamon is harvested
745,"——

How ketchup commercials are filmed"
746,"How watermelon juice is made

i ~—P"
747,"———

How tennis balls are made

md a LR"
748,How truck suspensions are made
749,How latex is extracted
75,"Manufacturing process of grass cutting machine...

Follow {6)@howthingsformed"
750,
751,"__@—

How belt buckles are made"
752,"%%

How plastic bottles are made

Mr

t
4),"
753,"__@—

How Blackstone Crispy Pizza Roll Ups

are made
ttt, i re"
754,"__@—_

How doughnuts are glazed

a |"
755,How dust cleaner brushes are made
756,"The process of creating artificial stone
with concrete"
757,"——— %

How moshi is made is japan"
758,"%%

How ice cream was made

nthe 1890s j"
759,How key copies are made
76,"Casting kakute ring out of keys...

Follow {6)@howthingsformed"
760,How raisins are made
761,How mirrors are made
762,"__@—

How basketballs are made"
763,"Step by step process of making brown
sugar"
764,"__@—_

Can you guess what’s being made?"
765,How soccer balls are made
766,How glass bottles are made
767,"__@—_

How gummy bears are made"
768,How erasers are made
769,"——— %

Thoughts on this?"
77,"Amazing manufacturing of diesel tanker truck...

Follow @howthingsformed"
770,"——

How make up is made"
771,"How movie scenes are made:
before and after cgi"
772,"——— %

How beef jerky is made"
773,How crab sticks are made
774,"__@—_

Thoughts on this

Cabbage model are so
real

he"
775,"4

How Taco Bell makes their eggs"
776,"——

Sweet desert making"
777,"——

How limousines are made
parti"
778,"How limousines are made
part 2"
779,"——

HOW RAMEN BOWLS
ARE DESIGNED"
78,"Amazing craftman making bamboo stick basket...

2a

Follow (6) @howthingsformed"
780,"__@—_

MAFALDINE PASTA"
781,"HOW ICE CREAM BARS
ARE MADE"
782,"HOW CHAINLINK FENCES
ARE MADE

""i i"
783,"——

PROCESS IF MAKING A
CUTTING BOARD"
784,"——

ART WITH COPPER WIRE
AND ELECTRICITY"
785,"__@—_

AMAZING ART"
786,"—————

HOMEMADE CHOCO
TACOS FOR THE SUMMER"
787,"CRYSTAL TEA POT
MAKING"
788,"————

HOW SPEEDOMETERS
ARE MADE"
789,
79,"If only there is a page dedicated to
how things are formed

Follow (@howthingsformed"
790,"TRADITIONAL WAY OF
MAKING PAPER"
791,"—————

HAND FORGED CLEAVER
MOUNTING HANDLES"
792,"——————

COPPER CORE CABLE
PRODUCTION"
793,"——

HOW SAFETY PINS ARE
MADE"
794,"__@—_

HOW CANDY IS MADE"
795,"——

HOW LARGE CHAINS ARE
MADE"
796,"——

HOW ANIMATED FILMES
ARE PHOTOGRAPHED"
797,"__@—

HOW KETCHUP IS MADE"
798,"HOW HONEY IS
. HARVESTED"
799,"__@—_

ROAD REPAIR"
8,"If there is a page dedicated to
how things are formed"
80,"Incredible making of glass award shields

Follow {@)@howthingsformed"
800,"HOW BIKE FUEL TANKS
ARE MADE"
801,"HOW RAZOR BLADE IS
MADE"
802,"BTS OF CASPER

Casper (i995) - BTS"
803,"CONSTRUCTING A
DOHYO

=sIN PROFESSIONAL, SUMO

fe fs sans"
804,"NATURAL OIL
EXTRACTION"
805,"HOW SHIRTS ARE
_ PRINTED"
806,"HOW ICE CREAM CONES
ARE MADE"
807,"__@—

THOUGHTS ON THIS"
808,HOW BRICKS ARE MADE
809,"__@—_

DID YOU KNOW THIS?"
81,"Amazing technique for bending spiral blades

Follow (© @howthingsformed"
810,"——

HOW GLITTER IS MADE"
811,"—————

ANIMATING A
CHARACTER VOICE"
812,
813,"————

HOW MIRRORS ARE
MADE"
814,"—————

HOW RUBBER IS MADE
THE OLD WAY"
815,"——————
HOW BRICKS ARE MADE"
816,"——— %

HOW VAPE IS MADE"
817,"HOW BASKETBALLS ARE

- MADE
ath TT Vy \e SPY «#"
818,HOW SCREWS ARE MADE
819,"__@—_

THOUGHTS ON THIS

»*"
82,"Incredible making process of rope from
coconut coir

Follow {@)@howthingsformed"
820,"WHEEL ASSEMBLY HUB

PROCESS"
821,"—— ——

HANDMADE BAMBOO
CHAIR"
822,"—————

HOW WAFFLES WAS
MADE IN THE 1800’S"
823,"———

WASHER BENDING
PROCESS
2. De"
824,"——
HOW NORI IS MADE"
825,"——————

HOW PRINGLES ARE
MADE"
826,"HOW NOODLES ARE
MADE"
827,"——————
HOW TYRES ARE MADE"
828,"HOW SLIDES ARE
DESIGNED"
829,"HOW BOATS RAMPS ARE
MADE"
83,"Incredible machine technology that cuts
steel like butter _"
830,"4
Li
a
S
Z
Li
@®s
Y
T
U
S
fe)
="
831,"BELT CONVEYOR
ADJUSTMENT PROCESS"
832,"__(@g))
HOW MOCHI IS MADE"
833,"HOW RAMEN BOWLS

ARE DESIGNED"
834,"HOW SPIRAL LOGS ARE
MADE

INTERESTING
ENGINEERING

kT 2"
835,
836,"——— Ve

HOW UZBEK BREAD IS
MADE"
837,"a
=
4
S
>
@
=
="
838,"HOMEMADE FREEZER
POPS

MEMADE FREEZER

» POPS) 4
“hey than store-bought ep. 13"
839,"——

HOW STEEL PIPES ARE"
84,Amazing door lock mechanism
840,"PLASTIC WASTE INTO
ROPE"
841,"HOW ECO FRIENDLY
BRICKS ARE MADE"
842,"HAVE YOU TRIED AYRAN

Mi"
843,"__@—

HOW TILES ARE FIXED"
844,"BTS:LOVE AND
MONSTERS"
845,"HOW TENNIS BALLS ARE
MADE"
846,"THIS ARTIST USES A

CHAINSAW TO CREATE
“SCULPTURES,

wa
. “aie 2

~ This artist uses a chainsaw |
to create sculptures"
847,"{i )—______

WOULD YOU TRY THESE
SAMOSAS?"
848,"__@—_

HOW SALMON IS MADE

, en"
849,"a

HOW MONTREAL SMOKED
MEAT IS MADE

The process of making
Montreal Smoked Meat

The row of syringes in front of"
85,"If only there is a page dedicated to
how things are formed"
850,"——————
HOW SOAP IS MADE"
851,"—__—____/2)—__

INSIDE A CHICKEN
PROCESSING FACTORY

The Life of a
Fast- -Growing Chicken

This factory is nothing short of a
nightmare for chickens"
852,"——

COMMENT YOUR FAVORITE
MICHAEL JACKSON SONG"
853,"INSIDE AN ICE CREAM
_ FACTORY"
854,"HONEY EXTRACTION
PROCESS"
855,"y
[4
=
U
Lu
oll
Lu
LL
\e)
z
©
=
UV
=)
a
oO
[a4
a."
856,"TRADITIONAL TEA

MANUFACTURING FACTORY
PROCESS IN AMS"
857,"3D PRINTED BEEF

Would you dare to eat
beef —_ by 3D printer

em ll

—
Can you believe that the beef you
eat might be 3D printed?"
858,HOW MONEY IS MADE
859,"——_ Ve

INSIDE A DOUGHNUT
FACTORY"
86,"If only there is a page dedicated to how things are
formed"
860,"——————

HOW GLOBES WERE MADE IN
1955"
861,"————
HOW POPCORN IS MADE

ee a."
862,"———————
HOW MONEY IS MADE

comment your local
currency

"" ="
863,"HOW TSHIRTS ARE MADE

CL OB ofp + i CS ss"
864,"HOW HOTDOGS ARE
MADE

Did You Know How Hot
Dogs Are Made? \@"
865,"—————

HOW MOUTAINS ARE
CREATED"
866,"——— a8 a
HOW CHAINS ARE MADE"
867,"———————

HOW FRENCH FRIES ARE
MADE"
868,"———

WOULD YOU TRY THIS
COCONUT ICE CREAM"
869,
87,"If only there is a page dedicated to
how things are formed"
870,"__@—

HOW NAILS ARE MADE

TS. oe"
871,"——— ———

HOW HELMETS ARE

DESIGNED"
872,"HOW POTATOE CHIPS
ARE MADE

Machines} SSCS"
873,"—————————

HOMEMADE PEACH
RINGS"
874,"———————

HOW CASSAR CHEESE IS
MADE"
875,"——(%@)—_—

HOW CYLINDERS ARE
MADE"
876,"————

HOW RAILWAY TRACKS
ARE MADE"
877,"__ a8 a
HOW ALFAJOR IS MADE"
878,"__@—_

HOW PLIERS ARE MADE

Me) ai an
ee"
879,"—————

HOW CRYSTAL GLASS IS
MADE"
88,"If only there is a page dedicated to
how things are formed"
880,"—__@—

Plat Lady (stage 1 - 5) in
process"
881,"HOW COCONUT DRINK IS
MADE

1 billion bottles of coconut
water are made every day

\"
882,"HOW KOREAN HOTDOGS
ARE MADE"
883,"HOW TRANSPARENT
KEYBOARDS ARE MADE"
884,"——___— 4 —____

BRITISH VINYL
MANUFACTURING DOC IN
THE 1960s"
885,"—————

HOW MANGO ICE STICKS"
886,"__@—_

HOW RICE IS BAGGED"
887,"—___@)—_—

HOW THE MOST
EXPENSIVE HAM IS MADE"
888,"__@—_

HOW CANDY IS MADE

_ ao"
889,"—————————

HOW CHEETOS ARE MADE"
89,"If only there is a page dedicated to how
things are formed"
890,"—————————

HOW WOODEN SLAT ARE
MADE"
891,"——(%@)——

HOW CPU IS MADE"
892,"————

HOW GASOLINE IS MADE"
893,"—————

HOW FENCES ARE MADE"
894,"——

HOW PAPER STRAWS ARE
MADE

Ni

oa 8
B Ay. bh"
895,"——(%@)——

HOW OLYMPIC MEDALS
ARE MADE"
896,"HOW ROOFING SHEETS
ARE MADE"
897,HOW SANDALS ARE MADE
898,
899,"———_ Ve

HOW TOOHBRUSHES ARE"
9,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
90,"If only there is a page dedicated to how
things are formed

Follow (©)|@howthingsformed"
900,"4

WHY CLAY MODELING IS
IS CRUCIAL TO CAR
DESIGN"
901,"HOW RUBBER IS
EXTRACTED FROM TREES"
902,"———————

HOW DOMINOS PIZZA IS
MADE"
903,"——————————

MAKING THE WORLDS

~ MOST EXPENSIVE CHALK"
904,"—————

HOW CONDOMS ARE
MADE"
905,"—__@—

HOW FAST HOUSES CAN
BE BUILT"
906,"———

MAN HOLE HOODIES?"
907,"——————

HOW JASMINE OIL IS
MADE"
908,"—————————

HOW GUN BARREL
RIFLING IS MADE"
909,"——————

HOW MARKERS ARE
MADE"
91,"If only there is a page dedicated to how
things are formed"
910,"———————

HOW CAST IRON IS MADE"
911,"————

HOW ETERNALS (2021)
WAS MADE"
912,"HOW CHAINS ARE MADE
MANUALLY

bay ~

j
|"
913,"GEORGE BY ARTIST BEN
KORACEVIC"
914,"——(%@)——

HOW BEER MUGS ARE
MADE"
915,"4 —__

HOW CATTLE FEED IS
MADE"
916,"——————

HOW CUTTING DISC IS
MADE"
917,"MOTORCYCLE FENDER
MEE ING PROCESS"
918,"HOW TO BUILD A
CONCRETE ROAD

#
ij
| “an
=< 4
r]
&"
919,"RECYCLING SOAP

Turning used hotel soap
into new bars"
92,"If only there is a page dedicated to how
things are formed"
920,"HOW SURF BOARDS ARE
MADE"
921,"INSIDE A KOREAN POWER
STRIP FACTORY"
922,"———

REVIVING USED TIRES"
923,"—————

HOW THE WORLD CUP IS
MADE"
924,"—————

BEHIND THE SCENES OF
CRAFTING KACHIWARI"
925,"__@—_

HOW TIRES ARE MADE"
926,"———————

HOW MOVIE SCENES ARE
_ FILMED"
927,"ELECTRICITY WIRES BEING
set tasecoeael WRAPPED"
928,"HOW VIDEO GAMES ARE
FILMED"
929,"———————
HOW VINYL RECORDS
ARE MADE"
93,"If only there is a page dedicated to how
things are formed"
930,HOW LEATHER BELTS ARE
931,"HOW CONNECTING RODS
ARE FORGED"
932,"———————

TURNING CHIP BAGS INTO
SUNGLASSES"
933,"__@—_

HOW BREAD IS MADE"
934,"——— wa

CERAMIC TRANSFER
PRINTING PROCESS"
935,"HOW SAFETY HELMETS
“ARE MADE"
936,"——————

HOW CUSTOM RINGS ARE
MADE"
937,"HOW COMMERCIALS ARE
FILMED
hall"
938,"———————

HOW KEY COPIES ARE
MADE"
939,"How this scene in ""Hail, Caesar!""
(2016) was filmed using the
reverse effect"
94,This is how load bearing arch bridge model looks
940,"__@—_

How eyeglasses are
assembled"
941,"———

HOW ELECTRICAL
TAPE IS MADE"
942,"TT a8 a
HOW TRANSFORMER
2007 WAS MADE"
943,"HOW NUTCRACKER
DOLLS ARE MADE"
944,"HOW LEATHER PURSES
ARE MADE"
945,"——— %%

HOW GLASS BOTTLE
ARE MADE"
946,"——— %

COMMERCIAL CAP
FLASHING"
947,"—— | %%

HOW PEARLS ARE
MADE"
948,"__@—_

HOW SOLAR PANELS

ARE MADE
SSE | ee"
949,"——— %

HOW TRADITIONAL
BRUSHES WERE MADE"
95,"If only there is a page dedicated to how
things are formed"
950,"——— %

HOW MACARONI
PASTA IS MADE"
951,"——— %

HOW GLASSES WERE
MADE IN THE 1960S"
952,"__@—_

BEAD PEARLS
EMBROIDERY

nn ee lll"
953,
954,"——

HOW PENS ARE MADE"
955,"—— %

HOW SILICONE MOULDS
ARE MADE"
956,"HOW SPRINGS ARE
MADE"
957,"HOW ROLLS ROYCE ARE

PAINTED
im 6S 6 een"
958,"——— %

HOW POLISHED STONE
FURNITURE IS MADE"
959,"———

HOW VINYL RECORDS
ARE MADE

-m OS J TP:"
96,"If only there was a page dedicated to how
things are formed"
960,"——— %

HOW CAR MATS ARE
MADE"
961,"——— %

TRADITIONAL BREAD IN
UZBEKISTAN"
962,"———————

MAKING AN
ORNAMENT DISPLAY
WITH SUGAR"
963,"——————

GARLIC BREAD MADE
IN KOREA"
964,"INSIDE A DOLL
FACTORY"
965,"——(%)——

CHARCOAL ART
BY: BIZHI520520"
966,"__@—

SAND CASTING AN
SBALL @ OUT OF NAILS"
967,"HOW SHAWARMA IS
MADE"
968,"———

HOW COCONUT MEAT IS
EXTRACTED"
969,"__@—_

HOW MITARASHI
ANMAKIIS MADE"
97,"If only there was a page dedicated to how
things are formed

ys Wi} a
/ \| — 1
i i |
— —
Ko
© ‘i
Ye ~ in| |
y ‘|G! ||
i |
= ale |
q - '
\ v
\ [ L
< } 1
5 h
4 a y
IN
\ a ]
i ;
N 4} \
y ya A
QD A la\
5 AA
;
d
(
*
‘

J
yy ==
ve"
970,"ig

THIS IS THE COOLEST
HALLOWEEN TRICK!!!

DIY FLYING BAT
7"
971,"HOW WATERMELON
JUICE IS MADE IN
TAIWAN"
972,"LARGE BUCKETS
MANUFACTURING"
973,"—__@—

HOW WELLS ARE MADE"
974,"——— %%

HOW TATTOOS ARE
DRAWN"
975,"—————

THE PROCESS OF
MAKING A CANOE"
976,"——————

RESTORING A 60 YEARS
OLD GUITAR"
977,"HOW TO MAKE A RING
FROM A COIN

Pope \
: © y"
978,"—————

HOW BUSINESS CARDS
ARE PRINTED"
979,"RESTORATION OF
BIRKENSTOCKS"
98,"If only there was a page dedicated to
how things are formed"
980,"INSTALLING A DRIVEWAY
SECURITY POST"
981,"HOW APPLE JUICE
IS MADE"
982,"3 &chainsawjenna

CARVING A RACING"
983,"og ®cayakkabi_tamircim

SHOE REPAIR"
984,"PINEAPPLE RICE WITH
STEAK, CHICKEN, AND"
985,"HOW TO MAKE DAILY
LEATHER DIARY"
986,"MAKING HANDMADE
TAILORED TROUSERS"
987,"VINYL WRAP IN THE
KITCHEN"
988,"———

IPHONE BACK GLASS
REPLACEMENT"
989,HOW COOKIE CUTTERS
99,"If only there was a page dedicated to

how things are formed"
990,"og €fluo_li_rong_art

HYPER REALISTIC CLAY
SCULPTURE"
991,"——————

HOW A CAMERAMAN
TRACKS A BASKETBALL

a /
a> Vv im"
992,"— ——

MESSI TATTOO
ASMR"
993,"Q
al
OW
60
WS
<a

 )2 >
24
qu
Is
35
I"
994,"__@—_

HOW MOCHIIS MADE"
995,"a

HOW TO COOK A
TURKEY"
996,"DUTCH HIGHWAY TUNNEL
BUILT IN A ONE WEEKEND"
997,"HOW BASEBALL BATS ARE
PAINTED"
998,"——(%)——

FROM GAS CYLINDER TO
HEATING STOVE"
999,"——| *%

SOUND EFFECT FOR VINTAGE
SCENES"
